entrez	symbol	duplicability	origin	essential_celllines_percentage	ppin_degree	ppin_betweenness	ppin_clustering	complexes	mirna	expressed_tissues_mRNA_GTEx	expressed_tissues_mRNA_protatlas	expressed_tissues_protein_protatlas	expressed_celllines_CLP	expressed_celllines_GNE	expressed_celllines_CCLE	germline_SNVs	germline_SVs	LOEUF_score
794	CALB2	0	"Last Universal Common Ancestor"	0	9	1247.47	0.111111	0	1	20	16	16	951	290	386	0.129151	0.00246002	1.02
797	CALCB	0	Vertebrates	0.0978474	9	438.237	0	3	1	0	1	1	947	56	68	0.0787402	0.00262467	1.293
799	CALCR	0	Metazoans	0	16	346.667	0.0833333	4	10	0	3	3	940	6	19	0.0734694	0.00204082	0.928
800	CALD1	0	Metazoans	0.182315	66	3233.38	0.134732	4	5	29	37	37	961	490	765	0.063472	0.000840689	0.258
811	CALR	0	"Last Universal Common Ancestor"	0.387222	222	82044.8	0.086462	16	111	30	43	43	956	675	1019	0.057554		0.38
821	CANX	0	"Last Universal Common Ancestor"	0	733	800514	0.0428846	10	98	30	43	43	943	675	1019	0.0454076	0.00103199	0.359
831	CAST	0	Eukaryotes	0	63	8188.29	0.12084	1	5	30	43	43		674	1010	0.0665824	0.00126422	0.782
833	CARS1	0	"Last Universal Common Ancestor"	57.1958	61	3339.53	0.197268	0	4	30	43	43	930	675	1019	0.0713999		0.494
836	CASP3	0	Metazoans	0	183	45217.1	0.068336	6	36	30	43	43	923	675	1019	0.0565584	0.00120337	0.686
841	CASP8	0	Metazoans	0	185	53819.9	0.0712691	43	45	28	43	43	952	650	962	0.0477076	0.00123916	0.811
842	CASP9	0	Metazoans	0	54	3516.74	0.136967	14	7	30	43	43	932	670	975	0.09375		0.974
843	CASP10	0	Metazoans	0	48	1762.73	0.179965	15	32	30	42	42	951	343	524	0.0651341	0.00127714	1.287
861	RUNX1	0	Opisthokonts	1.86501	238	48955.8	0.0881466	78	67	28	41	41	963	612	882	0.0826389	0.00208333	0.438
862	RUNX1T1	0	Metazoans	0.178094	110	16076	0.0558799	0	56	26	34	34	952	85	110	0.0477627	0.00100553	0.312
863	CBFA2T3	0	Metazoans	0.267142	69	4242.84	0.0856778	1	12	29	35	35	947	187	257	0.0740174	0.00408372	0.5
865	CBFB	0	Metazoans	4.83438	64	13607	0.0575397	93	28	30	43	43	936	675	1018	0.0196078	0.00178253	0.33
867	CBL	0	Opisthokonts	0.0890472	284	105437	0.0835863	74	30	30	40	40	935	675	1018	0.0724798		0.503
868	CBLB	0	Opisthokonts	0.0891266	90	5780.44	0.159051	8	20	30	42	42	955	652	879	0.0673267	0.000660066	0.266
885	CCK	0	"Last Universal Common Ancestor"	0	8	1196.77	0.0714286	3	0	7	7	7	952	54	71	0.0782609	0.0057971	1.904
887	CCKBR	0	Metazoans	0	24	4926.38	0.0797101	4	3	5	3	3	936	24	37	0.0755814		0.98
892	CCNC	0	Eukaryotes	2.0318	182	47409	0.0620485	36	2	30	43	43	927	675	1016	0.041225	0.00353357	0.146
894	CCND2	1	"Last Universal Common Ancestor"	2.63852	140	15578.9	0.102467	10	173	30	42	42	941	171	297	0.0219146		0.229
896	CCND3	0	"Last Universal Common Ancestor"	4.80349	76	9233.49	0.0736842	11	28	30	43	43	957	675	1019	0.0513699		0.24
898	CCNE1	0	Eukaryotes	2.55958	103	23746.4	0.148487	29	36	26	31	31	943	674	1008	0.0552846		0.32
909	CD1A	0	Vertebrates	0	70	4864.3	0.0505176	5	0	2	13	13	941	9	23	0.0468909	0.00101937	1.946
910	CD1B	0	Mammals	0	76	6283.56	0.0470175	5	0	0	10	10	947	1	12	0.034034	0.001001	1.338
912	CD1D	0	Vertebrates	0.0895255	9	165.8	0.111111	6	39	26	30	30	954	59	124	0.0487562	0.00199005	0.996
917	CD3G	0	Vertebrates	0	20	1854.08	0.168421	37	21	4	27	27	953	13	29	0.0787546		1.219
940	CD28	0	Vertebrates	0	28	20367.8	0.134921	10	46	8	25	25	953	33	49	0.0530303	0.0030303	0.711
942	CD86	0	Vertebrates	0.177936	7	98.08	0.0952381	8	20	22	40	40	953	67	99	0.0182371	0.00101317	0.345
943	TNFRSF8	0	Vertebrates	0.0970874	27	969.248	0.042735	2	6	9	14	14	957	69	119	0.0207283		0.359
944	TNFSF8	0	Vertebrates	0.093985	140	30159.6	0.016444	1	16	6	35	35	946	39	56	0.042735	0.0014245	0.525
948	CD36	0	"Last Universal Common Ancestor"	0	24	1786.43	0.105072	16	20	28	43	43	946	83	142	0.294492	0.000706215	1.995
955	ENTPD6	0	"Last Universal Common Ancestor"	0	42	2413.82	0.0487805	0	8	30	43	43	961	672	1016	0.088843	0.00206612	0.816
965	CD58	0	Vertebrates	0.0938967	16	3463.3	0.175	1	0	30	43	43		659	994	0.008	0.00133333	0.653
970	CD70	0	Mammals	0	160	18850	0.0210692	1	1	3	11	11	952	336	481	0.0240385		1.746
972	CD74	0	"Last Universal Common Ancestor"	0.0891266	148	29139.8	0.0443096	18	0	30	43	43	961	395	623	0.0495495		0.564
973	CD79A	0	Vertebrates	0.177936	238	132544	0.0225862	9	1	8	37	37	953	106	170	0.0147493		0.502
974	CD79B	0	Vertebrates	0.267857	119	19990.8	0.0269192	9	0	28	39	39	944	97	167	0.0173913		0.384
988	CDC5L	0	"Last Universal Common Ancestor"	74.3233	692	280064	0.0713174	14	88	30	43	43	933	675	1019	0.0403159		0.129
991	CDC20	1	"Last Universal Common Ancestor"	56.4555	180	68194	0.116449	34	12	19	29	29	941	674	1019	0.0714763	0.000668003	0.838
993	CDC25A	0	Eukaryotes	0.79929	109	12805.3	0.0881753	6	50	9	23	23	934	672	1005	0.0388041	0.00127226	0.375
995	CDC25C	0	Eukaryotes	0	136	14352.8	0.169935	4	4	4	14	14	936	672	1009	0.061706	0.00120992	1.245
996	CDC27	8	"Last Universal Common Ancestor"	61.3158	147	31733.7	0.110894	28	54	30	43	43	942	675	1019	0.0297189	0.00160643	0.273
998	CDC42	10	"Last Universal Common Ancestor"	37.5848	299	146956	0.0380014	40	25	30	43	43	937	675	1019	0.0104712	0.0069808	0.501
999	CDH1	0	"Last Universal Common Ancestor"	0.549451	689	440557	0.0277745	25	21	20	34	34		381	530	0.0589569	0.00226757	0.43
1000	CDH2	0	"Last Universal Common Ancestor"	1.32509	79	8581.31	0.109705	5	24	21	29	29	959	374	600	0.062546	0.000735835	0.29
1004	CDH6	1	"Last Universal Common Ancestor"	0.0892061	6	21.2675	0.466667	2	50	17	26	26	932	127	234	0.0599156		0.338
1006	CDH8	0	"Last Universal Common Ancestor"	0	21	637.856	0.157143	2	34	1	3	3	937	32	56	0.0500626	0.00208594	0.295
1007	CDH9	0	"Last Universal Common Ancestor"	0	8	1157.38	0.357143	2	1	1	11	11	947	7	11	0.0578792	0.000844951	0.367
1008	CDH10	0	"Last Universal Common Ancestor"	0.0938967	7	116.546	0.333333	2	0	3	3	3	937	56	103	0.0554146	0.000423012	0.419
1009	CDH11	0	"Last Universal Common Ancestor"	0.266904	7	29.2738	0.190476	2	5	26	33	33	951	184	262	0.0665829	0.00167504	0.156
1010	CDH12	0	"Last Universal Common Ancestor"	0	16	400.682	0.191667	2	12	3	5	5	945	60	95	0.0768262	0.00251889	0.584
1012	CDH13	0	"Last Universal Common Ancestor"	0	32	1234.15	0.0342742	2	10	23	34	34	948	182	271	0.0320175	0.00614035	0.594
1015	CDH17	0	"Last Universal Common Ancestor"	0.0890472	5	71.5665	0	2	0	2	26	26	945	100	123	0.0665064	0.00240385	0.963
1016	CDH18	0	"Last Universal Common Ancestor"	0	5	22.7093	0.4	2	1	3	4	4	950	79	116	0.0729958	0.00168776	0.454
1019	CDK4	0	"Last Universal Common Ancestor"	13.2461	240	76806.2	0.0815551	28	100	30	43	43	935	675	1019	0.0385039	0.00110011	0.642
1021	CDK6	0	"Last Universal Common Ancestor"	14.4845	178	61685.3	0.0851266	13	183	29	42	42	944	629	945	0.0163599	0.00204499	0.282
1026	CDKN1A	0	"Last Universal Common Ancestor"	0	332	129174	0.0607324	34	327	30	42	42		652	972	0.0555556		1.375
1027	CDKN1B	0	Metazoans	0	118	32952.4	0.124584	17	142	30	43	43	944	671	1016	0.0791246	0.003367	0.645
1029	CDKN2A	0	"Last Universal Common Ancestor"	0.0924214	256	71216	0.0842525	13	16	11	25	25	914	425	658	0.0958084	0.00199601	0.949
1030	CDKN2B	0	"Last Universal Common Ancestor"	0.275482	66	4037.11	0.262471	2	16	25	29	29	907	382	551	0.130435	0.00241546	1.833
1031	CDKN2C	0	"Last Universal Common Ancestor"	0	83	11300.9	0.0843373	1	3	30	43	43	929	647	963	0.0277778	0.00198413	0.948
1045	CDX2	0	Metazoans	0.624442	25	588.942	0.163333	2	16	3	6	6	950	165	155	0.0383387		0.589
1046	CDX4	0	Metazoans	0	9	48.9446	0.166667	0	1	0	1	1	957			0.0176056		1.432
1050	CEBPA	0	Metazoans	1.45587	116	19842.6	0.114843	13	8	29	40	40		353	99	0.00848176		1.177
1063	CENPF	0	Opisthokonts	0.281426	68	9045.05	0.0680421	13	12	5	23	23	943	673	1018	0.0255834	0.000107043	0.733
1104	RCC1	0	"Last Universal Common Ancestor"	60.8011	128	18051.6	0.123031	1	16	30	43	43	938	675	1019	0.0597345		0.357
1105	CHD1	0	"Last Universal Common Ancestor"	0.802139	55	1362.09	0.222896	0	26	30	43	43	943	674	1019	0.0313311	0.000370782	0.162
1106	CHD2	0	"Last Universal Common Ancestor"	0.535236	36	2275.74	0.195238	1	4	30	43	43	945	675	1018	0.0302699	0.000182349	0.07
1107	CHD3	0	"Last Universal Common Ancestor"	0.0919118	662	157632	0.0954884	14	21	30	42	42	938	672	1013	0.0386919		0.147
1108	CHD4	0	"Last Universal Common Ancestor"	51.4647	685	217406	0.104158	20	65	30	43	43	948	675	1019	0.0435844	0.000174338	0.156
1113	CHGA	0	Vertebrates	0.839552	13	359.47	0.0641026	0	1	9	15	15	954	95	129	0.0459519	0.00145879	0.568
